Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1389,openjpa-persistence,ExistsExpression,class,0,37,8,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/ExistsExpression.java
1390,openjpa-persistence,GreaterThanExpression,class,0,37,8,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/GreaterThanExpression.java
1391,openjpa-persistence,LessEqualExpression,class,0,36,8,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/LessEqualExpression.java
1392,openjpa-persistence,LessThanExpression,class,0,37,8,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/LessThanExpression.java
1393,openjpa-persistence,MemberOfExpression,class,0,36,8,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/MemberOfExpression.java
1394,openjpa-persistence,NotEqualExpression,class,0,37,8,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/NotEqualExpression.java
1395,openjpa-persistence,Visitable,interface,0,52,8,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/Visitable.java
1396,openjpa-slice,DistributedBroker,interface,0,44,8,0,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBroker.java
1397,openjpa-slice,DistributedStatement,class,0,36,8,1,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStatement.java
1398,openjpa-kernel,AuditableOperation,enum,0,33,7,0,openjpa-kernel/src/main/java/org/apache/openjpa/audit/AuditableOperation.java
1399,openjpa-kernel,CacheStatisticsSPI,interface,0,55,7,0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsSPI.java
1400,openjpa-kernel,DataCachePCData,interface,0,43,7,0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCData.java
1401,openjpa-kernel,DirtyListener,interface,0,49,7,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/DirtyListener.java
1402,openjpa-kernel,RemoteCommitListener,interface,0,62,7,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/RemoteCommitListener.java
1403,openjpa-kernel,ExpressionVisitor,interface,0,50,7,0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ExpressionVisitor.java
1404,openjpa-lib,InstrumentationLevel,enum,0,45,7,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/instrumentation/InstrumentationLevel.java
1405,openjpa-lib,ReferenceMap,interface,0,49,7,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ReferenceMap.java
1406,openjpa-lib,AbstractIterableMap,class,0,36,7,1,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractIterableMap.java
1407,openjpa-lib,OrderedMapIterator,interface,0,49,7,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/OrderedMapIterator.java
1408,openjpa-lib,ConcurrentMap,interface,0,45,7,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentMap.java
1409,openjpa-persistence-jdbc,ForeignKeyAction,enum,0,34,7,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/ForeignKeyAction.java
1410,openjpa-persistence,CriteriaExpression,interface,0,51,7,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaExpression.java
