Dataset,Classifier,FS,Balancing,Step,TrainReleases,TrainRows,TestRelease,TestRows,Precision,Recall,AUC,Kappa,NPofB20,PofB20
OPENJPA,Ibk,No,Yes,12,1-12,12424,13,1290,0.4586,0.6040,0.7041,0.4177,0.3861,0.2079
OPENJPA,Ibk,No,Yes,13,1-13,13714,14,1055,0.2060,0.4686,0.5446,0.0725,0.2171,0.1657
OPENJPA,RandomForest,Yes,Yes,1,1-1,932,2,951,0.7254,0.4976,0.8374,0.5021,0.3913,0.2512
OPENJPA,RandomForest,Yes,Yes,2,1-2,1883,3,952,0.6087,0.6300,0.8301,0.5157,0.3900,0.1250
OPENJPA,RandomForest,Yes,Yes,3,1-3,2835,4,1002,0.4793,0.8000,0.9023,0.5110,0.4414,0.2276
OPENJPA,RandomForest,Yes,Yes,4,1-4,3837,5,1003,0.6906,0.9058,0.9577,0.7437,0.5942,0.4928
OPENJPA,RandomForest,Yes,Yes,5,1-5,4840,6,1008,0.8231,0.7516,0.9167,0.7472,0.6149,0.4845
OPENJPA,RandomForest,Yes,Yes,6,1-6,5848,7,1049,0.8713,0.5399,0.8440,0.5827,0.5072,0.1630
OPENJPA,RandomForest,Yes,Yes,7,1-7,6897,8,1008,0.7487,0.6635,0.8845,0.6309,0.5782,0.3033
OPENJPA,RandomForest,Yes,Yes,8,1-8,7905,9,1055,0.8369,0.8613,0.9659,0.7949,0.7263,0.3613
OPENJPA,RandomForest,Yes,Yes,9,1-9,8960,10,1166,0.8228,0.7268,0.9281,0.6725,0.7374,0.2573
OPENJPA,RandomForest,Yes,Yes,10,1-10,10126,11,1055,0.7500,0.0800,0.6008,0.0950,0.3633,0.1467
OPENJPA,RandomForest,Yes,Yes,11,1-11,11181,12,1243,0.5916,0.7078,0.8959,0.5600,0.5160,0.1872
OPENJPA,RandomForest,Yes,Yes,12,1-12,12424,13,1290,0.6407,0.8564,0.9581,0.6748,0.5792,0.1832
OPENJPA,RandomForest,Yes,Yes,13,1-13,13714,14,1055,0.5738,0.8000,0.8870,0.5888,0.4971,0.1486
OPENJPA,NaiveBayes,Yes,Yes,1,1-1,932,2,951,0.6642,0.4300,0.7709,0.4233,0.2271,0.1208
OPENJPA,NaiveBayes,Yes,Yes,2,1-2,1883,3,952,0.5556,0.5000,0.7702,0.4086,0.2700,0.1500
OPENJPA,NaiveBayes,Yes,Yes,3,1-3,2835,4,1002,0.4298,0.6759,0.8044,0.4235,0.2897,0.3034
OPENJPA,NaiveBayes,Yes,Yes,4,1-4,3837,5,1003,0.4598,0.5797,0.8192,0.4245,0.2681,0.2246
OPENJPA,NaiveBayes,Yes,Yes,5,1-5,4840,6,1008,0.4756,0.4845,0.8004,0.3801,0.2360,0.1615
OPENJPA,NaiveBayes,Yes,Yes,6,1-6,5848,7,1049,0.5608,0.3841,0.8267,0.3079,0.2355,0.1123
OPENJPA,NaiveBayes,Yes,Yes,7,1-7,6897,8,1008,0.5765,0.4645,0.8301,0.4029,0.3602,0.1280
OPENJPA,NaiveBayes,Yes,Yes,8,1-8,7905,9,1055,0.5912,0.3905,0.8376,0.3324,0.2226,0.1314
OPENJPA,NaiveBayes,Yes,Yes,9,1-9,8960,10,1166,0.7164,0.7639,0.8739,0.6089,0.6048,0.1034
OPENJPA,NaiveBayes,Yes,Yes,10,1-10,10126,11,1055,0.4940,0.4133,0.6750,0.2578,0.2167,0.1333
OPENJPA,NaiveBayes,Yes,Yes,11,1-11,11181,12,1243,0.5495,0.4566,0.7839,0.4033,0.2374,0.1598
OPENJPA,NaiveBayes,Yes,Yes,12,1-12,12424,13,1290,0.5693,0.5693,0.8261,0.4893,0.2970,0.2079
OPENJPA,NaiveBayes,Yes,Yes,13,1-13,13714,14,1055,0.3738,0.6514,0.7759,0.3348,0.2800,0.2171
OPENJPA,Ibk,Yes,Yes,1,1-1,932,2,951,0.6776,0.4976,0.7103,0.4775,0.3575,0.2657
OPENJPA,Ibk,Yes,Yes,2,1-2,1883,3,952,0.3397,0.6250,0.6480,0.2307,0.2900,0.1800
OPENJPA,Ibk,Yes,Yes,3,1-3,2835,4,1002,0.4609,0.7724,0.8046,0.4837,0.4759,0.2897
OPENJPA,Ibk,Yes,Yes,4,1-4,3837,5,1003,0.6836,0.8768,0.9251,0.7259,0.6304,0.3406
OPENJPA,Ibk,Yes,Yes,5,1-5,4840,6,1008,0.8264,0.7391,0.8786,0.7413,0.6025,0.3913
OPENJPA,Ibk,Yes,Yes,6,1-6,5848,7,1049,0.8022,0.5290,0.8248,0.5417,0.4239,0.2138
OPENJPA,Ibk,Yes,Yes,7,1-7,6897,8,1008,0.7330,0.6635,0.8769,0.6212,0.5498,0.2512
OPENJPA,Ibk,Yes,Yes,8,1-8,7905,9,1055,0.8303,0.8394,0.9380,0.7765,0.7044,0.3321
OPENJPA,Ibk,Yes,Yes,9,1-9,8960,10,1166,0.7701,0.6844,0.8988,0.6043,0.5544,0.3289
OPENJPA,Ibk,Yes,Yes,10,1-10,10126,11,1055,0.6044,0.1833,0.6159,0.1717,0.1900,0.1167
OPENJPA,Ibk,Yes,Yes,11,1-11,11181,12,1243,0.4135,0.5023,0.6547,0.3227,0.2968,0.2100
OPENJPA,Ibk,Yes,Yes,12,1-12,12424,13,1290,0.4912,0.5495,0.7320,0.4233,0.3416,0.2426
OPENJPA,Ibk,Yes,Yes,13,1-13,13714,14,1055,0.5329,0.5086,0.7198,0.4278,0.3086,0.2457
