Rank,Module,Class,SonarSmells,PmdSmells,LOC,NCSS,Methods,LinesPerMethod,Path
247,openjpa-slice,DistributedSQLStoreQuery,4,43,292,229,12,19.08,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedSQLStoreQuery.java
248,openjpa-jdbc,MaxEmbeddedLobFieldStrategy,4,7,282,204,17,12.00,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedLobFieldStrategy.java
249,openjpa-kernel,ImplHelper,4,9,334,203,15,13.53,openjpa-kernel/src/main/java/org/apache/openjpa/util/ImplHelper.java
250,openjpa-persistence-jdbc,PersistenceMappingDefaults,4,11,261,181,13,13.92,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java
251,openjpa-jdbc,InExpression,4,18,244,159,12,13.25,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java
252,openjpa-persistence,JPAProperties,4,6,224,110,10,11.00,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/JPAProperties.java
253,openjpa-jest,TokenReplacedStream,4,7,189,105,8,13.13,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/TokenReplacedStream.java
254,openjpa-jdbc,UntypedPCValueHandler,4,2,145,96,8,12.00,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/UntypedPCValueHandler.java
255,openjpa-lib,StringListValue,4,7,151,86,9,9.56,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/StringListValue.java
256,openjpa-kernel,CollectionChangeTrackerImpl,4,4,133,79,9,8.78,openjpa-kernel/src/main/java/org/apache/openjpa/util/CollectionChangeTrackerImpl.java
257,openjpa-jdbc,JDBCFetchConfigurationImpl,3,35,488,384,36,10.67,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java
258,openjpa-kernel,ReflectingPersistenceCapable,3,14,423,331,37,8.95,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ReflectingPersistenceCapable.java
259,openjpa-jdbc,IngresDictionary,3,8,319,212,8,26.50,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/IngresDictionary.java
260,openjpa-lib,SQLFormatter,3,8,275,171,16,10.69,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/SQLFormatter.java
261,openjpa-persistence,AnnotationBuilder,3,13,201,149,16,9.31,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationBuilder.java
262,openjpa-kernel,MetaDataCacheMaintenance,3,17,211,146,10,14.60,openjpa-kernel/src/main/java/org/apache/openjpa/conf/MetaDataCacheMaintenance.java
263,openjpa-kernel,RedefinitionHelper,3,4,239,145,15,9.67,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/RedefinitionHelper.java
264,openjpa-lib,PluginListValue,3,9,219,145,12,12.08,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/PluginListValue.java
265,openjpa-lib,UUIDGenerator,3,11,283,132,10,13.20,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/UUIDGenerator.java
266,openjpa-jest,MetamodelHelper,3,8,185,118,11,10.73,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/MetamodelHelper.java
267,openjpa-jdbc,CompareEqualExpression,3,7,150,96,8,12.00,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java
268,openjpa-jdbc,TypeLit,3,18,139,92,11,8.36,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/TypeLit.java
269,openjpa-jdbc,StringFieldStrategy,2,6,292,214,25,8.56,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StringFieldStrategy.java
270,openjpa-lib,AbstractNonSequentialResultList,2,6,212,155,19,8.16,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/AbstractNonSequentialResultList.java
271,openjpa-jdbc,PropertiesReverseCustomizer,2,13,245,152,14,10.86,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java
272,openjpa-lib,ClassUtil,2,15,213,139,8,17.38,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ClassUtil.java
273,openjpa-kernel,ClassLoaderProxyService,2,8,169,129,9,14.33,openjpa-kernel/src/main/java/org/apache/openjpa/util/ClassLoaderProxyService.java
274,openjpa-jdbc,XROP,2,2,208,122,15,8.13,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/XROP.java
275,openjpa-persistence,ParameterExpressionImpl,2,5,171,95,11,8.64,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/ParameterExpressionImpl.java
276,openjpa-jdbc,ContainerFieldStrategy,2,0,148,91,9,10.11,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ContainerFieldStrategy.java
277,openjpa-kernel,MapChangeTrackerImpl,2,2,141,89,9,9.89,openjpa-kernel/src/main/java/org/apache/openjpa/util/MapChangeTrackerImpl.java
278,openjpa-slice,DistributedJDBCBrokerFactory,2,3,137,86,10,8.60,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCBrokerFactory.java
279,openjpa-persistence,PersistenceExceptions,1,11,345,225,14,16.07,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java
280,openjpa-kernel,PCSubclassValidator,1,2,288,184,11,16.73,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCSubclassValidator.java
281,openjpa-jdbc,RelationStrategies,1,7,253,167,11,15.18,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationStrategies.java
282,openjpa-jdbc,VerticalClassStrategy,1,0,169,114,9,12.67,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/VerticalClassStrategy.java
283,openjpa-lib,Graph,1,2,188,99,12,8.25,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/Graph.java
284,openjpa-jdbc,DiscriminatorMappingInfo,1,5,167,94,8,11.75,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java
